[DEBUG] 2019-12-17 15:08:47.232 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2019-12-17 15:08:47.240 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2019-12-17 15:08:47.244 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2019-12-17 15:08:47.347 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2019-12-17 15:08:47.350 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2019-12-17 15:08:47.671 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2019-12-17 15:08:47.672 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2019-12-17 15:08:47.680 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2019-12-17 15:08:48.014 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2019-12-17 15:08:48.030 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2019-12-17 15:08:48.030 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2019-12-17 15:08:48.049 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2019-12-17 15:08:48.075 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@764cba
[DEBUG] 2019-12-17 15:08:48.075 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@764cba
[DEBUG] 2019-12-17 15:08:48.075 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@764cba
[DEBUG] 2019-12-17 15:08:48.075 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@3872bc37
[DEBUG] 2019-12-17 15:08:48.076 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@2cfa2c4f
[DEBUG] 2019-12-17 15:08:48.076 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@11b455e5
[DEBUG] 2019-12-17 15:08:48.081 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@79d06bbd
[DEBUG] 2019-12-17 15:08:48.081 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@79d06bbd
[DEBUG] 2019-12-17 15:08:48.081 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@79d06bbd
[DEBUG] 2019-12-17 15:08:48.081 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@3efedc6f
[DEBUG] 2019-12-17 15:08:48.082 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@3efedc6f
[DEBUG] 2019-12-17 15:08:48.082 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@3efedc6f
[DEBUG] 2019-12-17 15:08:48.085 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@3531f3ca
[DEBUG] 2019-12-17 15:08:48.085 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@3531f3ca
[DEBUG] 2019-12-17 15:08:48.085 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@3531f3ca
[DEBUG] 2019-12-17 15:08:48.086 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@5e671e20
[DEBUG] 2019-12-17 15:08:48.086 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@5e671e20
[DEBUG] 2019-12-17 15:08:48.086 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@5e671e20
[DEBUG] 2019-12-17 15:08:48.087 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@3e1a3801
[DEBUG] 2019-12-17 15:08:48.087 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@3e1a3801
[DEBUG] 2019-12-17 15:08:48.087 [main] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@3e1a3801
[DEBUG] 2019-12-17 15:08:48.089 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@61a1ea2c
[DEBUG] 2019-12-17 15:08:48.089 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@61a1ea2c
[DEBUG] 2019-12-17 15:08:48.089 [main] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@61a1ea2c
