[DEBUG] 2019-11-07 12:18:57.765 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2019-11-07 12:18:57.771 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2019-11-07 12:18:57.779 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2019-11-07 12:18:57.863 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2019-11-07 12:18:57.869 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2019-11-07 12:18:58.164 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2019-11-07 12:18:58.164 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2019-11-07 12:18:58.174 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2019-11-07 12:18:58.479 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2019-11-07 12:18:58.494 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2019-11-07 12:18:58.497 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2019-11-07 12:18:58.515 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2019-11-07 12:18:58.550 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@3abfe845
[DEBUG] 2019-11-07 12:18:58.550 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@3abfe845
[DEBUG] 2019-11-07 12:18:58.550 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@3abfe845
[DEBUG] 2019-11-07 12:18:58.553 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@7f08caf
[DEBUG] 2019-11-07 12:18:58.554 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@27a2a089
[DEBUG] 2019-11-07 12:18:58.554 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@40e60ece
[DEBUG] 2019-11-07 12:18:58.555 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@53a665ad
[DEBUG] 2019-11-07 12:18:58.556 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@53a665ad
[DEBUG] 2019-11-07 12:18:58.556 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@53a665ad
[DEBUG] 2019-11-07 12:18:58.556 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@abff8b7
[DEBUG] 2019-11-07 12:18:58.557 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@abff8b7
[DEBUG] 2019-11-07 12:18:58.557 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@abff8b7
[DEBUG] 2019-11-07 12:18:58.559 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@1b4ae4e0
[DEBUG] 2019-11-07 12:18:58.561 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@1b4ae4e0
[DEBUG] 2019-11-07 12:18:58.561 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@1b4ae4e0
[DEBUG] 2019-11-07 12:18:58.562 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@37d871c2
[DEBUG] 2019-11-07 12:18:58.563 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@37d871c2
[DEBUG] 2019-11-07 12:18:58.564 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@37d871c2
[DEBUG] 2019-11-07 12:18:58.564 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@476e8796
[DEBUG] 2019-11-07 12:18:58.566 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@476e8796
