[DEBUG] 2019-11-27 15:34:53.852 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2019-11-27 15:34:53.858 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2019-11-27 15:34:53.861 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2019-11-27 15:34:53.921 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2019-11-27 15:34:53.924 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2019-11-27 15:34:54.197 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2019-11-27 15:34:54.199 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2019-11-27 15:34:54.208 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2019-11-27 15:34:54.523 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2019-11-27 15:34:54.539 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2019-11-27 15:34:54.539 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2019-11-27 15:34:54.553 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2019-11-27 15:34:54.582 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@34f392be
[DEBUG] 2019-11-27 15:34:54.582 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@34f392be
[DEBUG] 2019-11-27 15:34:54.582 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@34f392be
[DEBUG] 2019-11-27 15:34:54.583 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@27e5b378
[DEBUG] 2019-11-27 15:34:54.585 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@58496c97
[DEBUG] 2019-11-27 15:34:54.586 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@12968227
[DEBUG] 2019-11-27 15:34:54.588 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@3e3861d7
[DEBUG] 2019-11-27 15:34:54.588 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@3e3861d7
[DEBUG] 2019-11-27 15:34:54.588 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@3e3861d7
[DEBUG] 2019-11-27 15:34:54.589 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@47a7a101
[DEBUG] 2019-11-27 15:34:54.590 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@47a7a101
[DEBUG] 2019-11-27 15:34:54.590 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@47a7a101
[DEBUG] 2019-11-27 15:34:54.591 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@45bf6f39
[DEBUG] 2019-11-27 15:34:54.591 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@45bf6f39
[DEBUG] 2019-11-27 15:34:54.591 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@45bf6f39
[DEBUG] 2019-11-27 15:34:54.593 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@7fcf294e
[DEBUG] 2019-11-27 15:34:54.593 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@7fcf294e
[DEBUG] 2019-11-27 15:34:54.594 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@7fcf294e
[DEBUG] 2019-11-27 15:34:54.594 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@3eabe84a
[DEBUG] 2019-11-27 15:34:54.594 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@3eabe84a
[DEBUG] 2019-11-27 15:34:54.594 [main] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@3eabe84a
[DEBUG] 2019-11-27 15:34:54.595 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@6fd12c5
[DEBUG] 2019-11-27 15:34:54.595 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@6fd12c5
[DEBUG] 2019-11-27 15:34:54.598 [main] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@6fd12c5
[DEBUG] 2019-11-27 15:34:54.598 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@149debbb
[DEBUG] 2019-11-27 15:34:54.599 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@149debbb
[DEBUG] 2019-11-27 15:34:54.599 [main] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@149debbb
[DEBUG] 2019-11-27 15:34:54.599 [main] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@131ff6fa
[DEBUG] 2019-11-27 15:34:54.599 [main] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@131ff6fa
[DEBUG] 2019-11-27 15:34:54.602 [main] BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@63411512
[DEBUG] 2019-11-27 15:34:54.602 [main] BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@63411512
[DEBUG] 2019-11-27 15:34:54.603 [main] BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@5d5160e6
[DEBUG] 2019-11-27 15:34:54.603 [main] BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@5d5160e6
[DEBUG] 2019-11-27 15:34:54.603 [main] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@37af1f93
[DEBUG] 2019-11-27 15:34:54.603 [main] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@168cd36b
[DEBUG] 2019-11-27 15:34:54.604 [main] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@700f518a
[DEBUG] 2019-11-27 15:34:54.606 [main] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@700f518a
[DEBUG] 2019-11-27 15:34:54.606 [main] BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@68e7c8c3
[DEBUG] 2019-11-27 15:34:54.606 [main] BasicTypeRegistry - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@68e7c8c3
[DEBUG] 2019-11-27 15:34:54.611 [main] BasicTypeRegistry - Adding type registration Instant -> org.hibernate.type.InstantType@6778aea6
[DEBUG] 2019-11-27 15:34:54.611 [main] BasicTypeRegistry - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@6778aea6
[DEBUG] 2019-11-27 15:34:54.614 [main] BasicTypeRegistry - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@332820f4
[DEBUG] 2019-11-27 15:34:54.614 [main] BasicTypeRegistry - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@332820f4
[DEBUG] 2019-11-27 15:34:54.615 [main] BasicTypeRegistry - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@84487f4
[DEBUG] 2019-11-27 15:34:54.615 [main] BasicTypeRegistry - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@84487f4
[DEBUG] 2019-11-27 15:34:54.615 [main] BasicTypeRegistry - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@a518813
[DEBUG] 2019-11-27 15:34:54.615 [main] BasicTypeRegistry - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@a518813
[DEBUG] 2019-11-27 15:34:54.616 [main] BasicTypeRegistry - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@1d75e7af
[DEBUG] 2019-11-27 15:34:54.616 [main] BasicTypeRegistry - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@1d75e7af
[DEBUG] 2019-11-27 15:34:54.617 [main] BasicTypeRegistry - Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@3d5790ea
[DEBUG] 2019-11-27 15:34:54.622 [main] BasicTypeRegistry - Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@3d5790ea
[DEBUG] 2019-11-27 15:34:54.623 [main] BasicTypeRegistry - Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@5c534b5b
[DEBUG] 2019-11-27 15:34:54.624 [main] BasicTypeRegistry - Adding type registration java.time.ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@5c534b5b
[DEBUG] 2019-11-27 15:34:54.625 [main] BasicTypeRegistry - Adding type registration date -> org.hibernate.type.DateType@e8e0dec
[DEBUG] 2019-11-27 15:34:54.626 [main] BasicTypeRegistry - Adding type registration java.sql.Date -> org.hibernate.type.DateType@e8e0dec
[DEBUG] 2019-11-27 15:34:54.626 [main] BasicTypeRegistry - Adding type registration time -> org.hibernate.type.TimeType@3ee69ad8
[DEBUG] 2019-11-27 15:34:54.626 [main] BasicTypeRegistry - Adding type registration java.sql.Time -> org.hibernate.type.TimeType@3ee69ad8
[DEBUG] 2019-11-27 15:34:54.627 [main] BasicTypeRegistry - Adding type registration timestamp -> org.hibernate.type.TimestampType@44c13103
[DEBUG] 2019-11-27 15:34:54.627 [main] BasicTypeRegistry - Adding type registration java.sql.Timestamp -> org.hibernate.type.TimestampType@44c13103
[DEBUG] 2019-11-27 15:34:54.627 [main] BasicTypeRegistry - Adding type registration java.util.Date -> org.hibernate.type.TimestampType@44c13103
[DEBUG] 2019-11-27 15:34:54.628 [main] BasicTypeRegistry - Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@18acfe88
[DEBUG] 2019-11-27 15:34:54.631 [main] BasicTypeRegistry - Adding type registration calendar -> org.hibernate.type.CalendarType@3cbf1ba4
[DEBUG] 2019-11-27 15:34:54.631 [main] BasicTypeRegistry - Adding type registration java.util.Calendar -> org.hibernate.type.CalendarType@3cbf1ba4
[DEBUG] 2019-11-27 15:34:54.631 [main] BasicTypeRegistry - Adding type registration java.util.GregorianCalendar -> org.hibernate.type.CalendarType@3cbf1ba4
[DEBUG] 2019-11-27 15:34:54.633 [main] BasicTypeRegistry - Adding type registration calendar_date -> org.hibernate.type.CalendarDateType@3dd818e8
[DEBUG] 2019-11-27 15:34:54.634 [main] BasicTypeRegistry - Adding type registration locale -> org.hibernate.type.LocaleType@7efe7b87
[DEBUG] 2019-11-27 15:34:54.634 [main] BasicTypeRegistry - Adding type registration java.util.Locale -> org.hibernate.type.LocaleType@7efe7b87
[DEBUG] 2019-11-27 15:34:54.637 [main] BasicTypeRegistry - Adding type registration currency -> org.hibernate.type.CurrencyType@55259aa7
[DEBUG] 2019-11-27 15:34:54.637 [main] BasicTypeRegistry - Adding type registration java.util.Currency -> org.hibernate.type.CurrencyType@55259aa7
[DEBUG] 2019-11-27 15:34:54.642 [main] BasicTypeRegistry - Adding type registration timezone -> org.hibernate.type.TimeZoneType@36061cf3
[DEBUG] 2019-11-27 15:34:54.642 [main] BasicTypeRegistry - Adding type registration java.util.TimeZone -> org.hibernate.type.TimeZoneType@36061cf3
[DEBUG] 2019-11-27 15:34:54.642 [main] BasicTypeRegistry - Adding type registration class -> org.hibernate.type.ClassType@64f1fd08
[DEBUG] 2019-11-27 15:34:54.643 [main] BasicTypeRegistry - Adding type registration java.lang.Class -> org.hibernate.type.ClassType@64f1fd08
[DEBUG] 2019-11-27 15:34:54.643 [main] BasicTypeRegistry - Adding type registration uuid-binary -> org.hibernate.type.UUIDBinaryType@2e807c54
[DEBUG] 2019-11-27 15:34:54.643 [main] BasicTypeRegistry - Adding type registration java.util.UUID -> org.hibernate.type.UUIDBinaryType@2e807c54
[DEBUG] 2019-11-27 15:34:54.643 [main] BasicTypeRegistry - Adding type registration uuid-char -> org.hibernate.type.UUIDCharType@2b8bd798
[DEBUG] 2019-11-27 15:34:54.646 [main] BasicTypeRegistry - Adding type registration binary -> org.hibernate.type.BinaryType@27df0f3d
[DEBUG] 2019-11-27 15:34:54.646 [main] BasicTypeRegistry - Adding type registration byte[] -> org.hibernate.type.BinaryType@27df0f3d
[DEBUG] 2019-11-27 15:34:54.646 [main] BasicTypeRegistry - Adding type registration [B -> org.hibernate.type.BinaryType@27df0f3d
[DEBUG] 2019-11-27 15:34:54.647 [main] BasicTypeRegistry - Adding type registration wrapper-binary -> org.hibernate.type.WrapperBinaryType@3cb8c8ce
[DEBUG] 2019-11-27 15:34:54.647 [main] BasicTypeRegistry - Adding type registration Byte[] -> org.hibernate.type.WrapperBinaryType@3cb8c8ce
[DEBUG] 2019-11-27 15:34:54.647 [main] BasicTypeRegistry - Adding type registration [Ljava.lang.Byte; -> org.hibernate.type.WrapperBinaryType@3cb8c8ce
[DEBUG] 2019-11-27 15:34:54.647 [main] BasicTypeRegistry - Adding type registration row_version -> org.hibernate.type.RowVersionType@1317b708
[DEBUG] 2019-11-27 15:34:54.648 [main] BasicTypeRegistry - Adding type registration image -> org.hibernate.type.ImageType@615e3f51
[DEBUG] 2019-11-27 15:34:54.649 [main] BasicTypeRegistry - Adding type registration characters -> org.hibernate.type.CharArrayType@381d7219
