[DEBUG] 2019-11-26 12:53:07.901 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2019-11-26 12:53:07.913 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2019-11-26 12:53:07.922 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2019-11-26 12:53:08.050 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2019-11-26 12:53:08.058 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2019-11-26 12:53:08.424 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2019-11-26 12:53:08.426 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2019-11-26 12:53:08.440 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2019-11-26 12:53:08.907 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2019-11-26 12:53:08.962 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2019-11-26 12:53:08.965 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2019-11-26 12:53:08.996 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2019-11-26 12:53:09.034 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@58cf8f94
[DEBUG] 2019-11-26 12:53:09.034 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@58cf8f94
[DEBUG] 2019-11-26 12:53:09.034 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@58cf8f94
[DEBUG] 2019-11-26 12:53:09.037 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@34f392be
[DEBUG] 2019-11-26 12:53:09.040 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@27e5b378
[DEBUG] 2019-11-26 12:53:09.041 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@58496c97
[DEBUG] 2019-11-26 12:53:09.041 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@48eb9836
[DEBUG] 2019-11-26 12:53:09.041 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@48eb9836
[DEBUG] 2019-11-26 12:53:09.042 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@48eb9836
[DEBUG] 2019-11-26 12:53:09.042 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@74294c1a
