[DEBUG] 2019-12-17 09:59:32.304 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2019-12-17 09:59:32.314 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2019-12-17 09:59:32.318 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2019-12-17 09:59:32.397 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2019-12-17 09:59:32.402 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2019-12-17 09:59:32.693 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2019-12-17 09:59:32.693 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2019-12-17 09:59:32.703 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2019-12-17 09:59:33.009 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2019-12-17 09:59:33.025 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2019-12-17 09:59:33.025 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2019-12-17 09:59:33.038 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2019-12-17 09:59:33.068 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@764cba
[DEBUG] 2019-12-17 09:59:33.068 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@764cba
[DEBUG] 2019-12-17 09:59:33.068 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@764cba
[DEBUG] 2019-12-17 09:59:33.069 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@3872bc37
[DEBUG] 2019-12-17 09:59:33.069 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@2cfa2c4f
[DEBUG] 2019-12-17 09:59:33.069 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@11b455e5
[DEBUG] 2019-12-17 09:59:33.074 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@79d06bbd
[DEBUG] 2019-12-17 09:59:33.074 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@79d06bbd
[DEBUG] 2019-12-17 09:59:33.074 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@79d06bbd
[DEBUG] 2019-12-17 09:59:33.075 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@3efedc6f
